Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B02667,LEON LUXURY LIMO INC,,2017,2,February,25,0,3
B02756,ALLY CAR SERVICE LLC,ACTIVE EXPRESS CAR & LIMO 2,2020,5,May,271,0,4
B02303,MINEOLA TRANSPORTATION INC.,,2015,12,December,107,0,3
B01727,"CHAUFFEUR SERVICES, INC.",NICE GUYS LIMO,2018,1,January,33,0,2
b01079,THE METRO MARINE CAR SERVICE INC,MARINE LIMO & CAR SERVICE,2015,11,November,2989,0,10
B02532,COZY RIDE LIMOUSINE INC,COZY TRANSIT,2017,1,January,2400,0,14
B00559,7 OCEAN EXPRESS INC.,,2018,7,July,2934,0,21
B02731,EMES OF BOROPARK CAR SERVICE INC,,2021,7,July,213,0,1
B01616,"H & B CAR AND LIMOUSINE, INC",SUNNYSIDE CAR SERVICE,2017,3,March,4159,0,36
B02998,GENESIS LUXURY TRANSPORTATION CORP.,,2020,11,November,407,0,16
B02962,"HEALTH BLACK CAR SERVICES, CORP",ADON,2017,6,June,290,0,8
B02099,SUNNY'S LIMOUSINE SERVICE INC,SSS LIMO SERVICE,2019,12,December,212,0,6
B01726,SUPER CLASS RADIO DISP INC,,2017,10,October,16143,0,114
B00412,NYC 2 WAY INTERNATIONAL LTD,NYC TWO WAY INC.,2015,9,September,9337,0,133
B01737,WASHINGTON RAD DISP INC,,2016,2,February,4318,0,39
B02637,ROOSEVELT CAR & LIMO INC.,,2016,6,June,670,0,16
B01346,ARECIBO C/S INC,,2021,3,March,1009,0,13
B00457,PREMIUM BRONX CORP,,2019,5,May,6294,0,35
B01600,R & N CAR SERVICE INC.,EVERYWHERE CAR SERVICE,2021,9,September,187,0,11
B02793,SEAVIEW ISLAND CAR SERVICE,,2017,9,September,243,0,6
B02021,EASYRIDE CAR SERVICE INC.,,2016,11,November,1698,0,8
B02460,CABOT LIMO NY CORP.,,2017,1,January,904,0,30
B03084,PERSIST CORPORATION,,2018,3,March,1063,0,8
B00556,SURREY CADILLAC LIMO SVC INC,,2022,4,April,266,0,10
B02330,"OCHO LUXURY CAR, INC.",ACAPOLCO EXPRESS,2016,9,September,1745,0,13
B01146,CHURCH AVE C/S INC,,2018,12,December,11713,0,41
B02554,IMMEDIATE LUXURY CAR & LIMO SERVICE INC.,,2017,12,December,21,0,13
B02853,SAFE RIDES CAR & LIMO SERVICES INC,,2021,7,July,4,0,2
B02855,JUNIORS LUXURY INC,MEGA JUNIORS,2020,8,August,1390,0,11
B01534,METRO CAR SERVICE CORP.,METROLINE CAR SERVICE,2016,8,August,5400,0,27
B00429,SURF CAR SYSTEMS INC,,2019,7,July,3366,0,24
B02709,DASH CAR SERVICE CORP,,2018,2,February,1081,533,3
B00053,CHARGE AND RIDE INC,,2017,10,October,1151,0,79
B01236,BLS LIMO SVC OF NY INC,,2018,11,November,2642,0,93
B02410,"POLO LIMOUSINE, CORP.",,2015,9,September,1682,0,42
B01413,SFL INC,,2017,7,July,1458,0,38
B03299,WHITE TOP CAR SVCE INC,,2020,9,September,4036,0,26
B01984,NY 88 EXPRESS CORP.,,2016,1,January,29420,0,149
B00256,FAST OPERATING CORP,CARMEL C/L SVCE,2021,6,June,18573,0,251
UBER,UBER,UBER,2021,2,February,8290758,0,39322
B02834,811 TRANSIT CORP,,2018,4,April,3210,0,21
B02111,HUANG HOU CAR SERVICES INC.,HUANG HOU CAR SERVICES INC.,2021,1,January,4823,0,29
B01340,UNICAR COMPANY INC,,2015,6,June,32294,0,159
B00053,CHARGE AND RIDE INC,,2020,7,July,172,0,39
B02917,C & A BLACK CAR CORP.,,2022,3,March,1281,0,38
B01616,"H & B CAR AND LIMOUSINE, INC",SUNNYSIDE CAR SERVICE,2016,8,August,4627,0,42
B02833,ADVANCED LUXURY LIMO SVC. INC.,,2016,7,July,556,0,9
B03020,5J TRANSPORTATION INC.,,2020,1,January,1183,0,9
B01600,R & N CAR SERVICE INC.,EVERYWHERE CAR SERVICE,2017,10,October,106,0,3
B03308,B.S.Z. LUXURY BLACK CAR INC.,,2022,3,March,78,0,16
B01679,OLLIE'S TRANSPORTATION SERVICE,OLLIE'S AIRPORT SERVICE,2018,1,January,423,0,20
B00272,BIG APPLE CAR INC,,2015,12,December,6697,0,175
B02521,"PICTURE PROPERTIES, INC.",DEUCES TRANSPORT SERVICES,2018,11,November,4670,0,12
B00222,"REYNO CAR SVC, INC.",,2017,12,December,2594,0,17
B00972,N.J.M.INC.,MID ISLAND CAR SVCE,2021,1,January,1197,0,8
b00653,ROYAL CAR & LIMO SERVICE INC.,,2016,3,March,5178,0,57
B02196,"N & T DOUBLE DIAMOND LIMOUSINES, INC.",,2017,2,February,1,0,1
B02739,TRAXLINE CAR SERVICE INC.,,2017,8,August,833,0,12
B02273,BENI'S LIMOUSINE SERVICE INC,,2021,5,May,1,0,1
B03139,MJ LUXURY INC.,,2022,6,June,743,0,5
B00706,"VIC & BAY CAR SERVICE, INC",DEJOY'S RED TOP,2015,6,June,11589,0,20
B01737,WASHINGTON RAD DISP INC,,2015,10,October,3590,0,36
B01087,ELITE LIMO PLUS INC,,2019,2,February,19316,0,458
JUNO,JUNO,JUNO,2017,4,April,768288,0,16354
B03094,"JBE LIMO, INC",,2019,10,October,48,0,6
B03037,RIDE SOLUTION WORLDWIDE INC,,2021,4,April,4,0,2
B02550,AGAPE LUXURY CORP.,,2018,8,August,25423,0,232
B02653,NEW COLLEGE CAR SVCE INC,,2022,2,February,3845,0,26
B02569,LAPUMA GO GREEN LLC,GO GREENRIDE,2019,3,March,374,0,21
B02934,JUN'S LIMOUSINE AND CAR SERVICE LLC,,2018,9,September,214,0,3
B03047,"STS LUXURY, INC",,2019,4,April,4453,0,76
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,,2016,5,May,139,0,14
B02106,"PERFECT LIMO SERVICE, INC.",,2018,12,December,13,0,5
B02287,ROAD NEW YORK ENTERPRISES INC.,DAI-ICHI LIMOUSINE,2017,3,March,139,0,5
B03204,EXTRA CAR SERVICE LLC,,2021,2,February,6,0,1
B02770,"CAVALIER CAR & LIMOUSINE, INC.",,2021,7,July,227,0,7
B02839,YERUSHALAYIM CAR&LIMO INC,,2019,10,October,281,0,3
B02330,"OCHO LUXURY CAR, INC.",ACAPOLCO EXPRESS,2018,5,May,1361,0,7
B02219,ALL QUEENS CAR & LIMOUSINE INC.,CAR ON TIME,2017,8,August,129,0,8
B01510,JPAN TRANSPORTATION INC,PARSONS CAR SERVICE,2021,10,October,453,0,4
B01016,810 CAR SVCE CORP,,2018,6,June,6851,0,29
B01273,PUERTO RICO CAR SERVICE INC.,,2015,8,August,2005,0,8
B02664,CORPORATE CAR LTD.,,2019,9,September,99,0,31
B02285,"VALERA GLOBAL, INC.",,2020,1,January,2854,0,59
B01944,"DAG NETWORK TRANSPORTATION,CORP",,2020,11,November,3,0,2
B00472,FARRELL'S LEASING CO.,,2019,10,October,850,0,42
B00619,"HOLA CAR SERVICE,INC.",,2016,5,May,778,0,6
B02922,"HY'S LIVERY SERVICE,INC.",,2018,9,September,19,0,4
B03166,TURING ENTERPRISES INC.,,2021,7,July,266,0,3
B02103,A & S LIMOUSINE SERVICE CORP,,2021,10,October,361,0,3
B01445,J T TRANSPORTATION CO INC,,2020,2,February,6619,0,73
B01312,BROOKLYN RAD DISP INC,,2016,4,April,24477,0,196
B02814,BELL LX INC,,2018,3,March,9680,0,40
B01741,MONACO LIMO & CAR SERVICES INC.,,2015,4,April,2399,0,21
B02913,DAT TRANSPORTATION INC.,,2016,9,September,165,0,8
B02249,"LA RAZA CAR SERVICE, INC.",,2021,6,June,1495,0,8
LYFT,LYFT,LYFT,2018,1,January,3141012,641261,36779
B02811,M.L TRIPS CORP.,,2022,2,February,478,0,15
B01341,A NEW DAY RAD DISP INC,,2022,1,January,86,0,4
B02811,M.L TRIPS CORP.,,2019,6,June,1025,0,24
B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",,2020,6,June,37,0,6
B02050,"MAZIN  CAR & LIMO SVC., LLC",,2021,7,July,396,0,5
B01339,R C AUDUBON SVC INC,,2016,1,January,15123,0,129
B00789,VITAL TRANSPORTATION INC.,,2020,7,July,1502,0,96
B02303,MINEOLA TRANSPORTATION INC.,,2016,4,April,229,0,3
B02144,"SILVER STAR LIMOUSINES, INC.",,2021,4,April,257,0,4
B02252,ASIANA LIMOUSINE INC.,,2018,10,October,20,0,3
B02517,LOS PAISANOS LUXURY C/S INC.,,2019,11,November,1275,0,9
B01196,DIPLO RAD DISP INC,,2015,8,August,26566,0,192
B01877,U.S.A. LIMO. INC.,BLUE LINE,2021,4,April,672,0,138
B00021,MEXICANA HIGH CLASS INC.,CAPITAL CAR SERVICE,2020,3,March,3632,0,51
B02892,SEAMAN EXPRESS CORP.,,2016,12,December,11,0,7
B01081,GEORGE TOWN MANAGEMENT INC,,2019,5,May,782,0,8
B02756,ALLY CAR SERVICE LLC,ACTIVE EXPRESS CAR & LIMO 2,2020,8,August,246,0,3
B02416,"NEW STORM CAR SERVICE, INC.",,2017,12,December,3036,0,7
B03020,5J TRANSPORTATION INC.,,2017,12,December,1559,0,17
B00619,"HOLA CAR SERVICE,INC.",,2021,3,March,171,0,2
b00756,T & S HILLSIDE INC.,RED CAP CAR SERVICE,2016,3,March,8640,0,30
B03292,PIBE TRANSPORTATION INC.,,2022,4,April,350,0,9
B00235,"ARISTACAR & LIMOUSINE, LTD.",,2017,3,March,1353,0,25
B02834,811 TRANSIT CORP,,2020,11,November,1969,0,8
B01653,ART'S PLACE INC.,ON TIME CAR SERVICE,2016,6,June,2994,0,17
B02627,A PEGASUS LIMOUSINE CORP.,APL LIMO,2016,6,June,192,0,10
B03128,RIDE SMART CORP.,,2022,4,April,2990,0,9
B00477,INTA-BORO ACRES INC,,2018,2,February,8772,0,160
B02334,"GROUND TRAVEL SERVICES II, LTD.",GTS,2017,3,March,662,0,22
B03050,"TORINKO NY, LLC",,2018,5,May,191,0,17
B03059,"VOYAGER'S CAR & LIMO,INC",,2018,2,February,183,0,2
B03286,"MITA LIMOUSINE, INC.",,2021,4,April,183,0,9
B00850,UPTOWN TRANSIT CORP,,2020,1,January,825,0,14
JUNO,JUNO,JUNO,2016,7,July,394237,0,8564
B00031,QUEENS VILLAGE INC.,,2018,8,August,869,0,7
B01364,NY ATLIXCO CAR SERVICE INC,,2022,2,February,1002,0,6
B00008,T-D MAINTENANCE CORP,FOUR ONES CAR SERVICE,2016,5,May,6285,0,39
B02429,SEAGULL RIDE CORP,,2019,7,July,3126,0,10
B02795,LIMO SEVEN TRANSPORTATION INC,,2018,8,August,4128,0,24
B00457,PREMIUM BRONX CORP,,2019,12,December,4879,0,30
B01285,UNION RADIO DISPATCH INC,,2021,5,May,6834,0,40
B03074,BLACKBIRD WORLDWIDE CORP,,2021,1,January,38,0,5
B00318,APPLE RADIO CARS INC,,2018,12,December,4363,0,29
b00706,"VIC & BAY CAR SERVICE, INC",DEJOY'S RED TOP,2016,9,September,12259,0,25
B02814,BELL LX INC,,2021,3,March,4308,0,19
B02273,BENI'S LIMOUSINE SERVICE INC,,2019,2,February,24,0,6
B03032,A & S LIMOUSINE SERVICE CORP,,2020,10,October,1277,0,9
B01639,HIGH CLASS LIMO CAR SVCE CORP,,2022,3,March,3311,0,34
B00556,SURREY CADILLAC LIMO SVC INC,,2021,12,December,285,0,10
B00827,"CASTLE CAR SERVICE, INC",,2017,6,June,1571,0,8
B01088,PAISA 2 CAR  AND LIMOUSINE SERVICE INC,,2017,4,April,115,0,3
B01269,DIVISION CAR & LIMO INC.,NATANYA TRANSPORTATION,2016,2,February,1129,0,8
B02144,"SILVER STAR LIMOUSINES, INC.",,2016,3,March,324,0,11
B01190,NEW BELL CAR SERVICE CORP,,2018,11,November,3836,0,19
B01039,NYC WHEELS CAR SERVICE INC.,COMMUNICARE CAR SERVICE,2021,7,July,418,0,5
B00149,RAINBOW RAD DISP INC,,2018,6,June,1573,0,8
B02447,LUIGI MEMO INC.,VIEW,2019,8,August,17,0,11
B02480,WOODHAVEN LIMOUSINE INC,,2017,1,January,652,0,31
B01392,NEW AMERICAN CLASS L/C SERVICE CORP.,,2017,5,May,4316,0,21
B02594,FENIX MOBILE DISPATCHERS LTD,,2018,7,July,476,0,2
B02719,"49 WESTCHESTER SQUARE PRESTIGE CAR SERVICE, CORP.",,2020,1,January,1720,0,22
B02447,LUIGI MEMO INC.,VIEW,2018,2,February,22,0,12
B01738,SAETA CAR SERVICE INC.,,2015,10,October,2204,0,15
B01300,KENNEDY RAD DISP INC,,2016,11,November,14536,0,120
B01527,NEW FAMILY RAD DISP INC,,2016,1,January,10265,0,86
B02468,GROUNDLINK HOLDINGS LLC,GROUNDLINK YOUR'E GOOD TO GO,2017,6,June,689,0,39
B03119,CHINA TRANSIT LLC.,,2021,3,March,10,0,3
B01306,"R N D TRANSPORTATION, INC.",MALONES CAR SVCE,2022,6,June,75,0,3
B00693,BUSHWICK CAR SVCE INC,,2019,4,April,468,0,3
B01306,"R N D TRANSPORTATION, INC.",MALONES CAR SVCE,2017,12,December,395,0,9
B01779,APEX CAR & LIMO SVCE INC,,2015,6,June,1265,0,27
B02917,C & A BLACK CAR CORP.,,2018,2,February,145,0,20
B02719,"49 WESTCHESTER SQUARE PRESTIGE CAR SERVICE, CORP.",,2022,2,February,2032,0,76
B00859,PROMENADE CAR LEASE INC,,2016,8,August,781,0,8
B02183,BANGLA CAR & LIMO. SERVICE INC.,,2016,4,April,137,0,137
B03023,HERMANY LIMO TRANSPORTATION LLC,,2019,4,April,149,0,2
B02330,"OCHO LUXURY CAR, INC.",ACAPOLCO EXPRESS,2018,9,September,1722,0,10
B01854,EUROPE LIMOUSINE SERVICE INC,,2022,6,June,1569,0,153
B01128,PAK-EAGLE INC.,JEWEL CAR SERVICE,2018,6,June,2005,0,6
B01871,"ALPINE LIMOUSINE SERVICE, INC.",,2018,8,August,2413,0,86
B02594,FENIX MOBILE DISPATCHERS LTD,,2018,10,October,487,0,2
B00387,FORTUNE LIMOUSINES INC,,2020,3,March,101,0,8
B03084,PERSIST CORPORATION,,2018,1,January,1156,0,4
B01215,ECUADOOR CORP,,2015,12,December,21725,0,74
B01568,N.Y. MEXICANA CAR & LIMO SVC CRP.,N.Y. MEXICANA CAR SERVICE,2018,10,October,2213,0,16
B01985,"LUXURY WORLDWIDE TRANSPORTATION, LLC",,2020,5,May,329,0,13
B01980,"READY TO ROLL TRANSPORTATION, INC.",,2016,11,November,335,0,18
B01700,LINDEN EXPRESS CAR SERVICES INC.,,2017,7,July,1,0,1
B01626,LA NUEVA QUISQUEYA C/S INC,,2018,1,January,31468,0,124
B00387,FORTUNE LIMOUSINES INC,,2021,2,February,54,0,2
b01009,UNITED LIMO C/M SVC CORP,,2016,3,March,1770,0,14
B02184,"DMCLS, INC.",,2017,5,May,284,0,7
B02536,SEAGULL RIDE CORP,,2018,11,November,2401,0,5
B01629,BBA MANAGEMENT INC.,UNITED CAR & LIMO SERVICE,2018,8,August,709,0,2
B01051,B Q N C/S CORP,,2019,1,January,14871,0,79
B02747,LEGEND LUXURY LIMO INC.,,2020,10,October,56,0,17
B02316,"AJAY CAR SERVICE, LLC.",,2017,4,April,428,0,6
B01231,GO CAR CORP.,,2015,9,September,8163,0,51
B00001,LONDON TOWNCARS INC,,2022,6,June,695,0,19
B02641,AVENUE X CAR SERVICE INC.,PRESTIGE CAR SERVICE,2021,11,November,2155,0,15
B02920,AMAZING CAR AND LIMO SERVICE INC,,2019,1,January,1050,0,8
B01742,"AVALON TRANSPORTATION, LLC",,2017,4,April,758,0,22
B01029,ZION CAR SERVICE INC.,,2019,11,November,160,0,4
B02661,MIC-LOU CAR SERVICES_LLC,LULU CAR SERVICES,2016,8,August,2087,0,6
B02833,ADVANCED LUXURY LIMO SVC. INC.,,2016,1,January,240,0,9
B03276,510 BLACK CAR CORP.,,2021,6,June,1090,0,9
B00296,PRIME TIME TRANS. INC,,2016,2,February,1700,0,57
B01990,SUK INCORPORATED,RAINBOW LIMO,2017,3,March,741,0,42
B03055,EXPLORER EXPRESS INC,,2018,3,March,1737,0,21
B01009,UNITED LIMO C/M SVC CORP,,2017,1,January,1374,0,14
B01239,BEST DEAL PVT C/S INC,BEST DEAL DOMINICAN C/S INC,2015,9,September,24247,0,134
B00111,SKYLINE CREDIT RIDE INC,,2021,12,December,3283,0,154
B01338,3210 WEBSTER AV PRESTIGE C/S,,2016,12,December,44671,0,435
B03000,ZAPP CAR SERVICE INC.,,2019,7,July,42,0,4
B00900,BIG Q CAR SVC. INC.,,2018,8,August,46139,0,163
B02760,VISMAR RADIO DISPATCH INC.,,2018,7,July,280,0,6
B01444,REGO PARK EXPRESS INC.,,2017,2,February,7185,0,21
B01332,SKYWAY CAR SERVICE EXPRESS INC.,,2016,10,October,2004,0,16
B03015,TRI-COUNTY BLACK CARS INC,,2018,3,March,4354,0,17
B02016,PLANET LIMOUSINE LLC,,2015,4,April,4168,0,75
B00987,MARLBORO CAR SERVICE INC.,,2017,2,February,1151,0,9
B00319,AVENTINE AUTO RENTAL INC,SAFEWAY CAR SVCE,2016,9,September,2947,0,16
B02641,AVENUE X CAR SERVICE INC.,PRESTIGE CAR SERVICE,2020,8,August,1837,0,17
B03334,WTM 365 INC.,U.S. LIMO SYSTEMS,2021,10,October,82,0,8
B01340,UNICAR COMPANY INC,,2019,3,March,8728,0,70
B02629,CARLUX LIMO INC.,,2021,7,July,183,0,11
B03143,LUXORIDE INC,CITYROAD,2019,4,April,2,0,2
B02947,"ONIX TRANSPORTATION, INC",,2018,4,April,10248,0,57
B02339,SEDANZ INC.,,2020,2,February,115,0,7
B01051,B Q N C/S CORP,,2017,1,January,56790,0,350
B00823,"EASTERN L.P.B.,INC.",EASTERN CAR SVCE,2022,3,March,2713,0,43
b01129,GTWY INC,GATEWAY CAR & LIMO SVCE,2016,6,June,7835,0,22
B02671,COMMUNITY CAR SERVICE PRISCILLA CORP,,2021,11,November,2273,0,10
B01308,LIL'D DISPATCH INC.,STRICTLY CAR SERVICE,2020,1,January,4634,0,21
B01057,NEW AMERICAN C/L SVC,,2020,3,March,623,0,9
B02799,CHURCH AVENUE EXPRESS INC,,2021,4,April,5033,0,23
B02594,FENIX MOBILE DISPATCHERS LTD,,2019,9,September,1356,0,6
B01145,ULTRA RADIO DISP INC,,2016,12,December,25258,0,119
B02308,NORWOOD CAR & LIMO INC.,,2016,2,February,1714,0,23
B02934,JUN'S LIMOUSINE AND CAR SERVICE LLC,,2018,7,July,316,0,5
B01600,R & N CAR SERVICE INC.,EVERYWHERE CAR SERVICE,2020,7,July,134,0,6
B02826,NEW BELL LUXURY CORP,,2018,3,March,4731,0,34
B01540,ROCKAWAY VIP SERVICE INC.,,2017,12,December,5597,0,18
B00037,TRANSP UNLIMITED C/S,,2018,7,July,6020,0,24
B00937,RIVERSIDE RADIO DISPATCHER,,2018,8,August,35273,6,186
B00972,N.J.M.INC.,MID ISLAND CAR SVCE,2015,9,September,2346,0,17
B02849,BROOKLYN RIDES CORP,,2021,6,June,13506,0,107
B01367,"ROYAL DISPATCH SERVICES, INC.",EXECUTIVE CARS,2015,6,June,6019,0,109
B00387,FORTUNE LIMOUSINES INC,,2017,4,April,401,0,8
B02067,"GROUP AMERICAR TRANSPORTATION,LLC.",,2016,10,October,4491,0,82
B01868,LIMO 4 LLC,DIAL 4 LIMO,2015,12,December,23,0,22
B02853,SAFE RIDES CAR & LIMO SERVICES INC,,2019,4,April,30,0,6
B03236,AGUILA CAR & LIMO CORPORATION,VELOTAX CAR SERVICE,2020,5,May,130,0,6
B01183,ODYSSEY GLOBAL TRANSPORTATION & LIMO LLC.,,2021,4,April,360,0,89
B03380,ELECTRIC PEPPERS LLC,,2022,3,March,17954,0,56
B02855,JUNIORS LUXURY INC,MEGA JUNIORS,2021,7,July,1807,0,14
B00095,LIBERTY CAR SERVICE INC.,,2019,1,January,3375,0,18
B00281,"VEE CEE LIMOUSINE SERVICE, INC",NOSTRAND CAR SVCE,2015,6,June,3018,0,15
b00855,MAGNIFICENT 7'S ENTP INC,,2018,5,May,371,0,3
B01417,NESHER EXPRESS CAR SERVICE 2 INC.,,2018,2,February,1869,0,13
B01985,"LUXURY WORLDWIDE TRANSPORTATION, LLC",,2019,1,January,1236,0,59
B02213,"EXPRESS 11 CAR SERVICE, INC.",,2018,12,December,2049,0,13
B01979,DREAMLAND CAR & LIMO.SVC INC.,,2018,6,June,2813,0,17
B01061,DAT RADIO DISP INC,,2022,4,April,9667,0,51
B02989,GOOD FRIENDS CAR SERVICE INC,,2021,3,March,5359,0,19
B00255,CAUTIOUS CARS INC.,,2018,8,August,544,0,16
B02855,JUNIORS LUXURY INC,MEGA JUNIORS,2018,1,January,8992,0,12
B01730,LUCKY EXPRESS CORPORATION,GOOD LUCK CAR SVCE,2016,10,October,14190,0,128
B00350,A & A CHAMPION CAR LIMO SVC INC,,2020,7,July,2296,0,19
B02252,ASIANA LIMOUSINE INC.,,2016,3,March,10,0,1
B00248,YELLOWSTONE TRANSPORTATION INC.,YES CAR SERVICE,2021,10,October,2939,0,23
B02157,REAGAN CONVEYANCE  CORP.,DELUX TRANSPORTATION SERVICES,2019,4,April,5535,0,162
B02534,DV LUXURY TRANSPORTATION CORPORATION,,2021,9,September,1301,0,23
B01269,DIVISION CAR & LIMO INC.,NATANYA TRANSPORTATION,2020,1,January,1210,0,4
B03096,QUDOS FLEET NEW YORK 1 LLC,,2019,8,August,66,0,39
B02285,"VALERA GLOBAL, INC.",,2015,9,September,4790,0,96
B00647,KISS CAR SERVICE INC,,2021,1,January,13757,0,81
B02825,GUADALUPANA II CAR & LIMO INC,,2018,10,October,4387,0,17
B03177,BERNICE SERVICES INC,,2020,12,December,826,0,9
B02034,NEW IMPERIAL CAR SERVICE INC,,2015,10,October,2481,0,16
B02739,TRAXLINE CAR SERVICE INC.,,2021,10,October,21,0,3
B01614,R TRANSPORT INC,,2021,7,July,169,0,3
B02552,INTERSTATE LUXURY LIMOUSINES INC.,,2016,3,March,1143,0,25
B01711,FLUSHING LIMO TRANSP CORP,,2017,2,February,5773,0,29
B03257,MAXI LUXURY CARS CORP.,,2020,10,October,3343,0,31
B01623,JAMAICA EXPRESS CAR SERVICE INC.,SUNSHINE CAR SERVICE,2019,2,February,1268,0,6
B01362,AMERICAN BASE NO.1 INC.,,2019,11,November,6692,0,49
B01392,NEW AMERICAN CLASS L/C SERVICE CORP.,,2018,7,July,3128,0,11
B02311,FAST CITY CAR & LIMO SVC INC.,,2017,5,May,2403,0,15
B00235,"ARISTACAR & LIMOUSINE, LTD.",,2017,7,July,1723,0,26
B02970,FLYTE LINE TRANSPORTATION LLC,ADDISON LEE,2020,2,February,2108,0,95
B02369,UNICAR LUXURY INC.,,2018,2,February,9,0,4
B01636,HEIGHTS CAR & LIMO INC,,2015,10,October,1273,0,7
B02050,"MAZIN  CAR & LIMO SVC., LLC",,2018,3,March,1444,0,6
B00789,VITAL TRANSPORTATION INC.,,2018,3,March,11202,0,192
B02996,FOREVER BLUE CAR SERVICE INC.,,2018,9,September,1257,0,25
B01417,NESHER EXPRESS CAR SERVICE 2 INC.,,2017,10,October,1441,0,13
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,2021,6,June,12810,0,103
B01534,METRO CAR SERVICE CORP.,METROLINE CAR SERVICE,2016,1,January,7517,0,36
B02855,JUNIORS LUXURY INC,MEGA JUNIORS,2018,2,February,8260,0,16
B02397,CHICO EXPRESS CORP. 2,,2018,3,March,5720,0,30
B00889,MEXICANA CAR SERVICE INC.,,2015,12,December,21558,0,86
B02971,"ULTRA BLACK CAR TRANSPORTATION, CORP.",,2021,5,May,314,0,59
B00911,"RIVERSIDE PLUS RADIO DISPATCH, INC.",NEW WEBSTER CAR & LIMO SERVICE,2016,10,October,10826,0,73
B02067,"GROUP AMERICAR TRANSPORTATION,LLC.",,2016,9,September,4527,0,84
B01667,"NEW GOLDEN HORSE C/L SVC,INC.",,2017,7,July,30135,0,167
B02767,KISMET INTERNATIONAL INC.,,2017,10,October,127,0,10
B02838,THA MAYA CAR SERVICE INC,,2018,9,September,574,0,11
B01009,UNITED LIMO C/M SVC CORP,,2021,11,November,633,0,5
b01020,MICHAELS CAR SERVICE INC.,UNION LIMO AND CAR SERVICE INC,2016,5,May,1315,0,12
B01651,U.P.S. RADIO DISPATCH CORP.,WIRELESS CAR SERVICE,2018,12,December,298,0,4
B01109,UNITED EXP C/L SVCE,,2017,4,April,8347,0,42
B00277,ALL CITY CORP TRANS INC,,2015,8,August,3026,0,55
B02182,"FINEST CAR SERVICE, LLC",,2017,12,December,11352,0,103
B00001,LONDON TOWNCARS INC,,2016,9,September,1999,0,41
B01273,PUERTO RICO CAR SERVICE INC.,,2018,8,August,6891,0,32
B03367,SHOW LIMO CORP.,,2022,2,February,97,0,12
B01016,810 CAR SVCE CORP,,2021,8,August,7580,0,35
B01239,BEST DEAL PVT C/S INC,BEST DEAL DOMINICAN C/S INC,2020,2,February,36157,0,263
B01196,DIPLO RAD DISP INC,,2020,2,February,10529,0,77
B02243,BARONAS LUXURY II INC,,2020,5,May,2322,0,49
B00888,ACE C/L SVCE INC,,2019,11,November,1363,0,32
B02330,"OCHO LUXURY CAR, INC.",ACAPOLCO EXPRESS,2015,8,August,15933,0,18
B01236,BLS LIMO SVC OF NY INC,,2017,12,December,2050,0,82
B00446,COMMUNICAR INCORPORATED,,2021,3,March,2427,0,34
B02614,MEXICO LA  NEW POBLANITA EXPRESS INC.,,2018,4,April,632,0,3
B03018,AUREUS LLC,JAVA CAR & LIMOUSINE SERVICE,2018,2,February,12,0,6
B02970,FLYTE LINE TRANSPORTATION LLC,ADDISON LEE,2021,2,February,195,0,15
B02521,"PICTURE PROPERTIES, INC.",DEUCES TRANSPORT SERVICES,2017,11,November,2975,0,11
B01846,ROMANTIQUE LIMOUSINE INC.,,2015,4,April,54,0,10
B00225,DELANCEY TRANSPORTATION INC.,,2017,11,November,8487,0,56
B03380,ELECTRIC PEPPERS LLC,,2022,2,February,16849,0,48
B01309,ACME LIMOUSINE LLC,ARROW TRANSPORTATION,2018,1,January,398,0,14
B00225,DELANCEY TRANSPORTATION INC.,,2019,5,May,5364,0,32
B00827,"CASTLE CAR SERVICE, INC",,2017,4,April,1334,0,7
B02219,ALL QUEENS CAR & LIMOUSINE INC.,CAR ON TIME,2018,9,September,56,0,5
B02460,CABOT LIMO NY CORP.,,2015,8,August,766,0,15
B02848,V R WORLDWIDE INC,,2016,5,May,71,0,5
B02397,CHICO EXPRESS CORP. 2,,2019,3,March,350,0,2
B03166,TURING ENTERPRISES INC.,,2021,11,November,418,0,9
B01479,PRATT CAR SERVICE INC,,2017,6,June,635,0,5
B01717,HIGH CLASS BRONX LIMO C/S CORP,,2018,1,January,27471,0,209
B02715,GROUNDANYWHERE LLC,,2015,9,September,11756,0,228
B02688,KJ TRANSPORTATION,,2015,4,April,299,0,20
B03158,SPOTON.PET LLC,,2018,12,December,35,0,6
B03170,PAISA CLASSIC BLACK INC.,,2019,10,October,5,0,4
B01470,AGUILA CAR & LIMO CORPORATION,VELOTAX CAR SERVICE,2021,8,August,1465,0,17
B00856,BEE-BEE CAR SERVICE INC.,,2021,11,November,41554,0,194
B02437,"EXCELLENT CAR & LIMO SERVICE, INC.",,2018,3,March,34737,0,137
B02695,SEE USA TOURS INC.,,2017,6,June,398,0,6
B01730,LUCKY EXPRESS CORPORATION,GOOD LUCK CAR SVCE,2017,8,August,10371,0,136
B02737,BWJ GROUP INC,,2016,5,May,6183,0,33
